variant,block_end,scene,seed,ordinary_anchor_purity
All-Anchors,50,Climate,20260816,0.6691449814126395
All-Anchors,50,Climate,20260817,0.7397769516728625
All-Anchors,50,Climate,20260818,0.6468401486988847
All-Anchors,50,Climate,20260819,0.6691449814126395
All-Anchors,50,Climate,20260820,0.6691449814126395
All-Anchors,50,Climate,20260821,0.6505576208178439
All-Anchors,50,Climate,20260822,0.7397769516728625
All-Anchors,50,Climate,20260823,0.7286245353159851
All-Anchors,50,Climate,20260824,0.6691449814126395
All-Anchors,50,Climate,20260825,0.7286245353159851
All-Anchors,50,Climate,20260826,0.6951672862453532
All-Anchors,50,Climate,20260827,0.7100371747211895
All-Anchors,50,Climate,20260828,0.6579925650557621
All-Anchors,50,Climate,20260829,0.7286245353159851
All-Anchors,50,Climate,20260830,0.7360594795539034
All-Anchors,50,Climate,20260831,0.7323420074349443
All-Anchors,50,Climate,20260832,0.6951672862453532
All-Anchors,50,Climate,20260833,0.6988847583643123
All-Anchors,50,Climate,20260834,0.7211895910780669
All-Anchors,50,Climate,20260835,0.7397769516728625
All-Anchors,50,Climate,20260836,0.6840148698884758
All-Anchors,50,Climate,20260837,0.6802973977695167
All-Anchors,50,Traffic,20260808,0.68561872909699
All-Anchors,50,Traffic,20260809,0.6789297658862876
All-Anchors,50,Traffic,20260810,0.6989966555183946
All-Anchors,50,Traffic,20260811,0.7123745819397993
All-Anchors,50,Traffic,20260812,0.7023411371237458
All-Anchors,50,Traffic,20260813,0.7123745819397993
All-Anchors,50,Traffic,20260814,0.6923076923076923
All-Anchors,50,Traffic,20260815,0.725752508361204
All-Anchors,50,Traffic,20260816,0.7391304347826086
All-Anchors,50,Traffic,20260817,0.6889632107023411
All-Anchors,50,Traffic,20260818,0.6755852842809364
All-Anchors,50,Traffic,20260819,0.6923076923076923
All-Anchors,50,Traffic,20260820,0.68561872909699
All-Anchors,50,Traffic,20260821,0.6655518394648829
All-Anchors,50,Traffic,20260822,0.7023411371237458
All-Anchors,50,Traffic,20260823,0.7224080267558528
All-Anchors,50,Traffic,20260824,0.6989966555183946
All-Anchors,50,Traffic,20260825,0.68561872909699
All-Anchors,50,Traffic,20260826,0.6923076923076923
All-Anchors,50,Traffic,20260827,0.6655518394648829
All-Anchors,50,Traffic,20260828,0.7023411371237458
All-Anchors,50,Traffic,20260829,0.7090301003344481
All-Anchors,50,Traffic,20260830,0.7090301003344481
All-Anchors,50,Traffic,20260831,0.6956521739130435
All-Anchors,50,Traffic,20260832,0.68561872909699
All-Anchors,50,Traffic,20260833,0.6688963210702341
All-Anchors,50,Traffic,20260834,0.6923076923076923
All-Anchors,50,Traffic,20260835,0.705685618729097
All-Anchors,50,Traffic,20260836,0.7023411371237458
All-Anchors,50,Traffic,20260837,0.705685618729097
All-Anchors,50,Water,20260808,0.7254901960784313
All-Anchors,50,Water,20260809,0.7215686274509804
All-Anchors,50,Water,20260810,0.6666666666666666
All-Anchors,50,Water,20260811,0.6862745098039216
All-Anchors,50,Water,20260812,0.6627450980392157
All-Anchors,50,Water,20260813,0.7294117647058823
All-Anchors,50,Water,20260814,0.6823529411764706
All-Anchors,50,Water,20260815,0.6823529411764706
All-Anchors,50,Water,20260816,0.6980392156862745
All-Anchors,50,Water,20260817,0.7372549019607844
All-Anchors,50,Water,20260818,0.6470588235294118
All-Anchors,50,Water,20260819,0.6862745098039216
All-Anchors,50,Water,20260820,0.7568627450980392
All-Anchors,50,Water,20260821,0.7098039215686275
All-Anchors,50,Water,20260822,0.7294117647058823
All-Anchors,50,Water,20260823,0.6705882352941176
All-Anchors,50,Water,20260824,0.6941176470588235
All-Anchors,50,Water,20260825,0.7058823529411765
All-Anchors,50,Water,20260826,0.6666666666666666
All-Anchors,50,Water,20260827,0.6745098039215687
All-Anchors,50,Water,20260828,0.6509803921568628
All-Anchors,50,Water,20260829,0.7294117647058823
All-Anchors,50,Water,20260830,0.7098039215686275
All-Anchors,50,Water,20260831,0.7019607843137254
All-Anchors,50,Water,20260832,0.7411764705882353
All-Anchors,50,Water,20260833,0.6980392156862745
All-Anchors,50,Water,20260834,0.7215686274509804
All-Anchors,50,Water,20260835,0.6941176470588235
All-Anchors,50,Water,20260836,0.6980392156862745
All-Anchors,50,Water,20260837,0.7450980392156863
All-Anchors,60,Climate,20260808,0.689922480620155
All-Anchors,60,Climate,20260809,0.7209302325581395
All-Anchors,60,Climate,20260810,0.6976744186046512
All-Anchors,60,Climate,20260811,0.6821705426356589
All-Anchors,60,Climate,20260812,0.7364341085271318
All-Anchors,60,Climate,20260813,0.6937984496124031
All-Anchors,60,Climate,20260814,0.6705426356589147
All-Anchors,60,Climate,20260815,0.7015503875968992
All-Anchors,60,Climate,20260816,0.7170542635658915
All-Anchors,60,Climate,20260817,0.6782945736434108
All-Anchors,60,Climate,20260818,0.7131782945736435
All-Anchors,60,Climate,20260819,0.7441860465116279
All-Anchors,60,Climate,20260820,0.6937984496124031
All-Anchors,60,Climate,20260821,0.6937984496124031
All-Anchors,60,Climate,20260822,0.7286821705426356
All-Anchors,60,Climate,20260823,0.7054263565891473
All-Anchors,60,Climate,20260824,0.689922480620155
All-Anchors,60,Climate,20260825,0.6937984496124031
All-Anchors,60,Climate,20260826,0.7093023255813954
All-Anchors,60,Climate,20260827,0.6821705426356589
All-Anchors,60,Climate,20260828,0.7286821705426356
All-Anchors,60,Climate,20260829,0.686046511627907
All-Anchors,60,Climate,20260830,0.7093023255813954
All-Anchors,60,Climate,20260831,0.6705426356589147
All-Anchors,60,Climate,20260832,0.689922480620155
All-Anchors,60,Climate,20260833,0.686046511627907
All-Anchors,60,Climate,20260834,0.7093023255813954
All-Anchors,60,Climate,20260835,0.7403100775193798
All-Anchors,60,Climate,20260836,0.7286821705426356
All-Anchors,60,Climate,20260837,0.7093023255813954
All-Anchors,60,Traffic,20260808,0.6916167664670658
All-Anchors,60,Traffic,20260809,0.7155688622754491
All-Anchors,60,Traffic,20260810,0.6646706586826348
All-Anchors,60,Traffic,20260811,0.6826347305389222
All-Anchors,60,Traffic,20260812,0.718562874251497
All-Anchors,60,Traffic,20260813,0.7035928143712575
All-Anchors,60,Traffic,20260814,0.7065868263473054
All-Anchors,60,Traffic,20260815,0.6616766467065869
All-Anchors,60,Traffic,20260816,0.688622754491018
All-Anchors,60,Traffic,20260817,0.7155688622754491
All-Anchors,60,Traffic,20260818,0.7215568862275449
All-Anchors,60,Traffic,20260819,0.7125748502994012
All-Anchors,60,Traffic,20260820,0.7065868263473054
All-Anchors,60,Traffic,20260821,0.7485029940119761
All-Anchors,60,Traffic,20260822,0.7155688622754491
All-Anchors,60,Traffic,20260823,0.7065868263473054
All-Anchors,60,Traffic,20260824,0.6976047904191617
All-Anchors,60,Traffic,20260825,0.7065868263473054
All-Anchors,60,Traffic,20260826,0.6826347305389222
All-Anchors,60,Traffic,20260827,0.7245508982035929
All-Anchors,60,Traffic,20260828,0.7095808383233533
All-Anchors,60,Traffic,20260829,0.6766467065868264
All-Anchors,60,Traffic,20260830,0.688622754491018
All-Anchors,60,Traffic,20260831,0.6826347305389222
All-Anchors,60,Traffic,20260832,0.6946107784431138
All-Anchors,60,Traffic,20260833,0.6856287425149701
All-Anchors,60,Traffic,20260834,0.688622754491018
All-Anchors,60,Traffic,20260835,0.7095808383233533
All-Anchors,60,Traffic,20260836,0.7125748502994012
All-Anchors,60,Traffic,20260837,0.718562874251497
All-Anchors,60,Water,20260808,0.662379421221865
All-Anchors,60,Water,20260809,0.6913183279742765
All-Anchors,60,Water,20260810,0.7138263665594855
All-Anchors,60,Water,20260811,0.6881028938906752
All-Anchors,60,Water,20260812,0.707395498392283
All-Anchors,60,Water,20260813,0.6784565916398714
All-Anchors,60,Water,20260814,0.7202572347266881
All-Anchors,60,Water,20260815,0.7170418006430869
All-Anchors,60,Water,20260816,0.7106109324758842
All-Anchors,60,Water,20260817,0.7234726688102894
All-Anchors,60,Water,20260818,0.752411575562701
All-Anchors,60,Water,20260819,0.7234726688102894
All-Anchors,60,Water,20260820,0.6816720257234726
All-Anchors,60,Water,20260821,0.7041800643086816
All-Anchors,60,Water,20260822,0.7106109324758842
All-Anchors,60,Water,20260823,0.684887459807074
All-Anchors,60,Water,20260824,0.7009646302250804
All-Anchors,60,Water,20260825,0.6913183279742765
All-Anchors,60,Water,20260826,0.7202572347266881
All-Anchors,60,Water,20260827,0.7009646302250804
All-Anchors,60,Water,20260828,0.7234726688102894
All-Anchors,60,Water,20260829,0.7009646302250804
All-Anchors,60,Water,20260830,0.7009646302250804
All-Anchors,60,Water,20260831,0.7041800643086816
