method,mode,scene,seed,honest_report_acceptance
PRTD,independent,Traffic,20260809,1.0
PRTD,independent,Traffic,20260810,1.0
PRTD,independent,Traffic,20260811,1.0
PRTD,independent,Traffic,20260812,1.0
PRTD,independent,Traffic,20260813,1.0
PRTD,independent,Traffic,20260814,0.9993618379068283
PRTD,independent,Traffic,20260815,1.0
PRTD,independent,Traffic,20260816,0.9993638676844784
PRTD,independent,Traffic,20260817,0.9993646759847522
PRTD,independent,Traffic,20260818,1.0
PRTD,independent,Traffic,20260819,1.0
PRTD,independent,Traffic,20260820,0.9993694829760403
PRTD,independent,Traffic,20260821,1.0
PRTD,independent,Traffic,20260822,1.0
PRTD,independent,Traffic,20260823,1.0
PRTD,independent,Traffic,20260824,1.0
PRTD,independent,Traffic,20260825,1.0
PRTD,independent,Traffic,20260826,1.0
PRTD,independent,Traffic,20260827,1.0
PRTD,independent,Traffic,20260828,1.0
PRTD,independent,Traffic,20260829,1.0
PRTD,independent,Traffic,20260830,1.0
PRTD,independent,Traffic,20260831,1.0
PRTD,independent,Traffic,20260832,1.0
PRTD,independent,Traffic,20260833,0.9993618379068283
PRTD,independent,Traffic,20260834,1.0
PRTD,independent,Traffic,20260835,1.0
PRTD,independent,Traffic,20260836,1.0
PRTD,independent,Traffic,20260837,1.0
PRTD,independent,Water,20260808,1.0
PRTD,independent,Water,20260809,1.0
PRTD,independent,Water,20260810,1.0
PRTD,independent,Water,20260811,1.0
PRTD,independent,Water,20260812,1.0
PRTD,independent,Water,20260813,1.0
