workload,scene,target_workers,seed,target_acceptance,qe_radius,qe_clean_acceptance,prtd_relative_weight,prtd_clean_acceptance
Traffic_n27,Traffic,27,20260825,0.96,0.011615037054838,0.9606164383561644,0.0600821346079769,0.958904109589041
Traffic_n27,Traffic,27,20260831,0.96,0.0117889794625405,0.9606164383561644,0.0531920072594102,0.958904109589041
Traffic_n27,Traffic,27,20260837,0.96,0.0125091026158921,0.9606164383561644,0.0891481345428502,0.958904109589041
Traffic_n39,Traffic,39,20260813,0.96,0.0102079525121002,0.9610027855153204,0.1436843655791675,0.9596100278551531
Traffic_n39,Traffic,39,20260819,0.96,0.0106692916153049,0.9610027855153204,0.1652295120028207,0.9596100278551531
Traffic_n39,Traffic,39,20260825,0.96,0.009483725314003,0.9610027855153204,0.1059480008961732,0.9596100278551531
Traffic_n39,Traffic,39,20260831,0.96,0.0100054012005867,0.9610027855153204,0.1180086096510322,0.9596100278551531
Traffic_n39,Traffic,39,20260837,0.96,0.0113306108392698,0.9610027855153204,0.1173313238242511,0.9596100278551531
Water_n27,Water,27,20260813,0.96,0.0239506239272144,0.9600840336134454,0.0030461680704038,0.957983193277311
Water_n27,Water,27,20260819,0.96,0.0251545509921038,0.9600840336134454,0.0090373864154314,0.957983193277311
Water_n27,Water,27,20260825,0.96,0.0252585171250402,0.9600840336134454,0.0001573459174781,0.957983193277311
Water_n27,Water,27,20260831,0.96,0.0247926275170725,0.9600840336134454,0.0064628505638684,0.957983193277311
Water_n27,Water,27,20260837,0.96,0.0256000264659843,0.9600840336134454,0.0412936216895035,0.957983193277311
Water_n39,Water,39,20260813,0.96,0.0240631291507578,0.9611111111111112,0.0542743470296703,0.9597222222222224
Water_n39,Water,39,20260819,0.96,0.0245356457115751,0.9611111111111112,0.1496713527186629,0.9597222222222224
Water_n39,Water,39,20260825,0.96,0.0245737623152282,0.9611111111111112,0.1064500491816337,0.9597222222222224
Water_n39,Water,39,20260831,0.96,0.0246276933331398,0.9611111111111112,0.0674002195592545,0.9597222222222224
Water_n39,Water,39,20260837,0.96,0.0245614301384101,0.9611111111111112,0.1963097117541557,0.9597222222222224
