malicious_ratio,strength,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate,clean_nrmse,error_ratio
0.1,0.25,Traffic,20260808,60,0,0.0001221035238031288,6642.286805116589,0.10987701818502284,550.9372894326737,360,0.0005823885773336314,4.295439055658853,0.0003052139394028412,1.5303813595352045,0.0,0.00032956045147954094,1.7671676765796214
0.1,0.25,Traffic,20260809,60,0,0.00010724272995050704,6467.767595770063,0.1094951219515211,559.1956290548482,360,0.0005457989300875752,4.238634343672651,0.00030415311653200305,1.5533211918190226,0.0,0.0003691014049071063,1.4787235237561323
0.1,0.25,Traffic,20260810,60,0,0.000123375297851798,4900.7490940755615,0.1163341183274442,525.6122939114653,360,0.0005854136663073718,3.6896059312598237,0.000323150328687345,1.46003414975407,0.0,0.0003327740852923344,1.7591924737561802
0.1,0.25,Traffic,20260811,60,0,6.811566208376015e-05,4676.2498832841065,0.08716221850809774,446.5775787833181,360,0.00043498295651081466,3.604106409239677,0.00024211727363360484,1.2404932743981059,0.0,0.00037485935810988805,1.160389749115725
0.1,0.25,Traffic,20260812,60,0,6.862409515667319e-05,3603.5146288172223,0.0834947846442788,392.16003543155466,360,0.0004366033515060488,3.1638209269529805,0.00023192995734521888,1.0893334317543184,0.0,0.00033455676078171894,1.3050202616915878
0.1,0.25,Traffic,20260813,60,0,6.610982675975031e-05,2131.4061526734245,0.09286339953999223,416.3003229638903,360,0.0004285305212770417,2.433222687366503,0.00025795388761108956,1.1563897860108066,0.0,0.00037750158129928413,1.135175433708453
0.1,0.25,Traffic,20260814,60,0,6.296224963476616e-05,2835.8031514256204,0.08920836891749373,406.19989574835756,360,0.00041820466027335285,2.806640514241587,0.0002478010247708159,1.1283330437454377,0.0,0.0003294825968079903,1.2692769339713148
0.1,0.25,Traffic,20260815,60,0,0.00016742386638172492,7039.548989390714,0.1175048101058057,541.8290746228328,360,0.0006819576933393973,4.422024734022588,0.00032640225029390474,1.5050807628412022,0.0,0.0003301713228298871,2.065466157067674
0.1,0.25,Traffic,20260816,60,0,0.0012377244328498395,83067.16858796946,0.15196510195941723,801.2718320319955,360,0.0018542177392590353,15.190198648028993,0.0004221252832206034,2.225755088977765,0.0,0.00029881656245983975,6.205204035530119
0.1,0.25,Traffic,20260817,60,0,0.0002612721984027989,11980.414123065462,0.10956012074883843,573.4547106666557,360,0.0008519132037211546,5.768789138079696,0.0003043336687467734,1.5929297518518215,0.0,0.0002986462920444579,2.852582558079558
0.1,0.25,Traffic,20260818,60,0,6.09640925102223e-05,4012.318040712619,0.08436329588119151,449.6389386811031,360,0.0004115151290259985,3.3384619049598854,0.0002343424885588653,1.248997051891953,0.0,0.0003540227409127353,1.1623974436360707
0.1,0.25,Traffic,20260819,60,0,0.0017096918787196818,86725.29808860194,0.24537769692569356,1223.3533266252173,360,0.002179253107730874,15.521069737671823,0.0006816047136824821,3.398203685070048,0.0,0.0003939781861089015,5.531405505604555
0.1,0.25,Traffic,20260820,60,0,9.256285589934102e-05,4788.805429592461,0.1028697646819564,526.1171543189373,360,0.0005070690723805153,3.6472232320525024,0.00028574934633876774,1.461436539774826,0.0,0.00037047769337393956,1.368689887271318
0.1,0.25,Traffic,20260821,60,0,0.00013235627067594718,6776.263958507476,0.1059839757337864,509.9828247887028,360,0.0006063466891417702,4.338543008925755,0.0002943999325938511,1.4166189577463968,0.0,0.0003547120445352232,1.7094054134425072
0.1,0.25,Traffic,20260822,60,0,6.42037788954458e-05,3779.6409777646545,0.0911294786732041,465.87421068641817,360,0.00042230774355335617,3.2402164612897284,0.0002531374407589003,1.2940950296844949,0.0,0.0003538298912464496,1.193533259911075
0.1,0.25,Traffic,20260823,60,0,8.793120626044793e-05,4114.323274279363,0.0929631806192928,456.0494788433102,360,0.0004942199416489246,3.38063244998434,0.00025823105727581337,1.266804107898084,0.0,0.0003996658839812993,1.2365827593932175
0.1,0.25,Traffic,20260824,60,0,8.359975538976288e-05,3688.6586061236553,0.0963299905521879,432.87187741770356,360,0.0004818937048243537,3.2009801476889925,0.0002675833070894108,1.2024218817158432,0.0,0.0003217538664496901,1.4977091344439317
0.1,0.25,Traffic,20260825,60,0,4.527055674071968e-05,2836.4199678646532,0.07910441862452865,403.48036917178143,360,0.0003546146450754665,2.8069457342776674,0.00021973449617924623,1.1207788032549484,0.0,0.0003309764446534943,1.0714195853022699
0.1,0.25,Traffic,20260826,60,0,8.116949392075265e-05,4222.627317915904,0.09266401517779695,474.696321537677,360,0.00047483767378603725,3.424838730151272,0.00025740004216054705,1.318600893160214,0.0,0.00030525121400473845,1.5555635882865524
0.1,0.25,Traffic,20260827,60,0,0.003085113317462682,179787.72832556418,0.2613428783358509,1299.2252319261854,360,0.0029274151081071704,22.347491055147568,0.0007259524398218081,3.6089589775727373,0.0,0.00033092331685010643,8.846203815348435
0.1,0.25,Traffic,20260828,60,0,7.908318435089187e-05,4684.146991271561,0.09712070398653379,508.1645627985787,360,0.0004686955430616028,3.607148377901688,0.0002697797332959272,1.411568229996052,0.0,0.0003397693260414941,1.3794521963538393
0.1,0.25,Traffic,20260829,60,0,0.00010180137298082165,4978.910648981839,0.09940378628317882,471.4349956267422,360,0.0005317721237648636,3.718912120268895,0.0002761216285643856,1.3095416545187284,0.0,0.00033901484300954304,1.5685806528237898
0.1,0.25,Traffic,20260830,60,0,0.0001696949909694701,8614.887796717618,0.12589630694687298,624.4932910710863,360,0.0006865675312124764,4.891854850644197,0.00034971196374131386,1.7347035863085731,0.0,0.0003363788326820408,2.041054503157303
0.1,0.25,Traffic,20260831,60,0,0.00016119687210159898,10068.78726912364,0.1178222523705995,607.7363681188522,360,0.000669155504476432,5.288558738006363,0.00032728403436277636,1.6881565781079226,0.0,0.00033603182887590117,1.9913456017392797
0.1,0.25,Traffic,20260832,60,0,7.783041789184742e-05,3278.3442806166313,0.09121932901772663,426.7304103753442,360,0.0004649683916731671,3.0176997681349538,0.0002533870250492406,1.1853622510426227,0.0,0.0003656389757945041,1.2716598132429076
0.1,0.25,Traffic,20260833,60,0,0.00010286613766167155,7336.102115374617,0.1070792780919329,578.000368223827,360,0.0005345458551728008,4.514206622607804,0.0002974424391442581,1.6055565783995194,0.0,0.00037381800722444277,1.4299628290829125
0.1,0.25,Traffic,20260834,60,0,0.009371958856050504,472596.5123956777,0.31904318043216817,1582.1171997004976,360,0.005102275869118087,36.232141669903996,0.0008862310567560228,4.394769999168049,0.0,0.0003404556982498276,14.986607348172562
0.1,0.25,Traffic,20260835,60,0,0.00010052949233217103,4021.387369426188,0.09868231382196717,443.0331512833071,360,0.0005284397693319327,3.3422328570326005,0.00027411753839435323,1.2306476424536308,0.0,0.0004052170665273939,1.304090604723354
0.1,0.25,Traffic,20260836,60,0,0.00010752668364383088,4411.814707916549,0.1069927879631843,501.1154187580796,360,0.000546521026442693,3.500720048122064,0.00029720218878662304,1.3919872743279988,0.0,0.00037770868420849377,1.4469379426315108
0.1,0.25,Traffic,20260837,60,0,0.00011555462237621732,5728.220719095781,0.1071519306037011,511.5769106298047,360,0.000566555436083848,3.988950265384428,0.00029764425167694747,1.4210469739716796,0.0,0.0003670454648045163,1.5435565629058736
0.1,0.25,Water,20260808,60,0,0.0008405793182766186,16908.93691912775,0.5040353900290994,795.3946191765659,540,0.001247649136247416,5.595788250687554,0.0009333988704242581,1.4729529984751222,0.0,0.001177029519005285,1.0599981700559322
0.1,0.25,Water,20260809,60,0,0.001770475922352821,25705.038038401675,0.5718996526521624,926.9341434342084,540,0.001810706799972924,6.899414634107479,0.0010590734308373376,1.7165447100633489,0.0,0.0010995676047372161,1.6467444040475
0.1,0.25,Water,20260810,60,0,0.0009880549688003563,13966.918658246832,0.5338036810119867,765.5868709741834,540,0.0013526756535490552,5.085731430378385,0.0009885253352073828,1.4177534647670063,0.0,0.0012071533058403306,1.1205500138256448
0.1,0.25,Water,20260811,60,0,0.0008990273131109626,26223.91053304682,0.516881426327223,902.725918976237,540,0.0012902966304884822,6.968701262317106,0.0009571878265318944,1.6717146647708094,0.0,0.0011960714995495336,1.0787788447216038
0.1,0.25,Water,20260812,60,0,0.0008276226070151615,18941.90580752692,0.5074769944217377,819.3143557607546,540,0.0012379961459695601,5.922634831497893,0.0009397722118921068,1.5172488069643604,0.0,0.0011840133398359767,1.0455930725755689
0.1,0.25,Water,20260813,60,0,0.0009177183873974106,18828.82830392553,0.5115947732409839,882.6619254119411,540,0.0013036404777316444,5.904930191189821,0.0009473977282240442,1.6345591211332242,0.0,0.0010759025284180737,1.2116715439347647
0.1,0.25,Water,20260814,60,0,0.000954776070364128,22654.929598556464,0.5153063174540792,934.649451950606,540,0.0013297006557897325,6.477157812703047,0.0009542709582482947,1.7308323184270482,0.0,0.0010993524648603944,1.2095307904354313
0.1,0.25,Water,20260815,60,0,0.0015523668873077506,14771.370279667337,0.592652769517332,706.1208108404134,540,0.0016955098038685453,5.230142388768337,0.0010975051287358002,1.3076311311859508,0.0,0.0011059224528908735,1.533118167043715
0.1,0.25,Water,20260816,60,0,0.0009574023883998007,26011.675440957322,0.527756832544411,928.4181249385073,540,0.0013315282144684569,6.940444462360185,0.0009773274676748351,1.7192928239601986,0.0,0.0011946853495692646,1.114543017497059
0.1,0.25,Water,20260817,60,0,0.0008302328898110298,15185.070311143816,0.4839081444050691,745.7115443610405,540,0.0012399468998569535,5.302876632186747,0.0008961261933427205,1.3809473043722973,0.0,0.0011258332015078823,1.1013593294248503
0.1,0.25,Water,20260818,60,0,0.0007612449876621787,13345.51740258314,0.48511038923917127,660.5774142150599,540,0.0011873133285342779,4.971309798825125,0.0008983525726651319,1.2232915078056665,0.0,0.001113062372205603,1.066708711194272
0.1,0.25,Water,20260819,60,0,0.0008665223131524078,24177.28149714346,0.4975749636388847,931.240637006037,540,0.001266756073710419,6.6912437941856995,0.0009214351178497865,1.7245196981593278,0.0,0.0011863468172711564,1.0677788782071507
0.1,0.25,Water,20260820,60,0,0.0007777493505681548,24777.750055650664,0.4795241474107322,911.4726551602919,540,0.0012001152341030476,6.773826269198156,0.0008880076803902448,1.6879123243709109,0.0,0.0011325631530486918,1.0596453106147021
0.1,0.25,Water,20260821,60,0,0.0009071049364045435,18360.406906854747,0.5305883624674531,861.0132288067601,540,0.0012960802275726261,5.831016509255697,0.0009825710416063946,1.594468942234741,0.0,0.0012472311210593686,1.0391660420337863
0.1,0.25,Water,20260822,60,0,0.0008011469799714777,26321.746800755955,0.49360567519187143,979.262347353228,540,0.0012180334636066857,6.981688589227929,0.0009140845836886508,1.8134487913948667,0.0,0.001143490798501884,1.0651886881839905
0.1,0.25,Water,20260823,60,0,0.0007432796080435507,27146.88101411619,0.4765048393405259,950.9158060430053,540,0.0011732193821273019,7.0902751623609745,0.000882416369149122,1.7609551963759358,0.0,0.0010980762386373366,1.068431626918013
0.1,0.25,Water,20260824,60,0,0.0008658374765270783,13648.855701645574,0.4974096820792157,702.4972839711603,540,0.0012662553985311985,5.027490299021079,0.0009211290408874365,1.3009208962428895,0.0,0.0011546195722259857,1.0966862410707197
0.1,0.25,Water,20260825,60,0,0.0007738365258571115,19649.76832570121,0.486518780561712,868.7736230861308,540,0.0011970925626028654,6.032284796195356,0.0009009607047439111,1.6088400427520941,0.0,0.0011181509799473082,1.0706001104245129
0.1,0.25,Water,20260826,60,0,0.001003603168761326,17657.074639572136,0.5442387055317766,839.7578518505719,540,0.00136327707623764,5.718241545228571,0.0010078494546884751,1.5551071330566146,0.0,0.0012258655136381696,1.1120935054218593
