method,mode,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate
PRTD,clean,Water,20260813,80,0,0.0011170601523714482,30672.92757708794,0.664143536700348,1225.213708682541,720,0.001245581163091845,6.526966240261323,0.0009224215787504833,1.7016857065035291,0.0
PRTD,clean,Water,20260814,80,0,0.0010764013952864217,23935.59209152091,0.6695679247031969,1139.3063503735411,720,0.001222702718528837,5.765750419927154,0.0009299554509766624,1.5823699310743626,0.0
PRTD,clean,Water,20260815,80,0,0.0011060466640415718,21189.46589805852,0.6654413990675218,1022.9436092697854,720,0.0012394256420939342,5.424925229650958,0.000924224165371558,1.420755012874702,0.0
PRTD,clean,Water,20260816,80,0,0.0012258293749270223,29862.649801818337,0.693274060234454,1172.8707384351537,720,0.001304814468999234,6.440178763242948,0.0009628806392145195,1.6289871367154913,0.0
PRTD,clean,Water,20260817,80,0,0.0010189333608092589,19794.951406902488,0.6332811556891128,1044.2125958653933,720,0.0011896155779688633,5.2433756364714466,0.0008795571606793234,1.4502952720352684,0.0
PRTD,clean,Water,20260818,80,0,0.001082127004118648,29369.635422882482,0.6733958318314623,1128.6292785261567,720,0.001225950313996049,6.386795777974978,0.0009352719886548088,1.5675406646196621,0.0
PRTD,clean,Water,20260819,80,0,0.0012441437470208311,37172.58235935098,0.6779454650695728,1321.5954830662179,720,0.0013145255518314664,7.185303515524566,0.0009415909237077399,1.8355492820364137,0.0
PRTD,clean,Water,20260820,80,0,0.0012029619142751701,27697.680484724195,0.6888501322173478,1170.9703110739956,720,0.0012925867230067357,6.2023383230220555,0.0009567362947463164,1.6263476542694384,0.0
PRTD,clean,Water,20260821,80,0,0.0012987562387961,36281.818196420325,0.7134475764508402,1250.7502051933545,720,0.0013430666809354731,7.098691017483075,0.0009908994117372781,1.7371530627685479,0.0
PRTD,clean,Water,20260822,80,0,0.0011390515021990656,39405.34476413782,0.6779092860891325,1297.5972666223208,720,0.0012577821652720634,7.397948736355705,0.0009415406751237951,1.8022184258643346,0.0
PRTD,clean,Water,20260823,80,0,0.0011211488287590971,40269.39295062837,0.670382957478496,1377.716978808509,720,0.0012478586262290698,7.4786170132871685,0.0009310874409423555,1.913495803900707,0.0
PRTD,clean,Water,20260824,80,0,0.0011518335892757151,25284.520969852623,0.66574177137972,1091.4256236895226,720,0.001264819700192106,5.9259927637406395,0.0009246413491385,1.5158689217910035,0.0
PRTD,clean,Water,20260825,80,0,0.0011125817164664837,28857.91152336722,0.6563952643044354,1209.8417391664987,720,0.0012430818090460609,6.330910887964176,0.0009116600893117158,1.6803357488423591,0.0
