run,seed,n,fault,policy,audit_triggered,detected,corrected,bad_finalized,honest_votes,audit_reexecution_ms,correct_digest,submitted_digest
3,2035581003,27,aggregate,proactive,True,True,True,False,5,8.283218,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,6e6ba233b4bca80c5986890aedcf527a59bbd17a0b4cbc894f0231834939fba3
3,2035581003,27,aggregate,timely_challenge,True,True,True,False,5,8.436813,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,6e6ba233b4bca80c5986890aedcf527a59bbd17a0b4cbc894f0231834939fba3
3,2035581003,27,aggregate,delayed_challenge,True,True,True,False,5,7.751794,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,6e6ba233b4bca80c5986890aedcf527a59bbd17a0b4cbc894f0231834939fba3
3,2035581003,27,payment,no_trigger,False,False,False,True,0,0.000128,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,af64e0f4c86b1a4cc93fc10f0c4f499c7efbec83807875e7ffa3c398e3ce22ba
3,2035581003,27,payment,proactive,True,True,True,False,5,8.695083,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,af64e0f4c86b1a4cc93fc10f0c4f499c7efbec83807875e7ffa3c398e3ce22ba
3,2035581003,27,payment,timely_challenge,True,True,True,False,5,8.158233,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,af64e0f4c86b1a4cc93fc10f0c4f499c7efbec83807875e7ffa3c398e3ce22ba
3,2035581003,27,payment,delayed_challenge,True,True,True,False,5,7.878788,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,af64e0f4c86b1a4cc93fc10f0c4f499c7efbec83807875e7ffa3c398e3ce22ba
3,2035581003,27,missing_package,no_trigger,False,False,False,True,0,0.000118,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,MISSING
3,2035581003,27,missing_package,proactive,True,True,True,False,5,0.000908,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,MISSING
3,2035581003,27,missing_package,timely_challenge,True,True,True,False,5,0.000438,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,MISSING
3,2035581003,27,missing_package,delayed_challenge,True,True,True,False,5,0.000374,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,MISSING
4,2035581004,27,label,no_trigger,False,False,False,True,0,0.000213,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,acc340b303b3d9946fdcd18f39831cd79e2c7e573697d4751a20125bc668ca60
4,2035581004,27,label,proactive,True,True,True,False,5,7.894887,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,acc340b303b3d9946fdcd18f39831cd79e2c7e573697d4751a20125bc668ca60
4,2035581004,27,label,timely_challenge,True,True,True,False,5,8.245965,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,acc340b303b3d9946fdcd18f39831cd79e2c7e573697d4751a20125bc668ca60
4,2035581004,27,label,delayed_challenge,True,True,True,False,5,8.159141,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,acc340b303b3d9946fdcd18f39831cd79e2c7e573697d4751a20125bc668ca60
4,2035581004,27,weight,no_trigger,False,False,False,True,0,0.00015,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,bcde3754616775f91740fae444a796d07cac44b0fd75659d7bf4be047c5a94f3
4,2035581004,27,weight,proactive,True,True,True,False,5,8.233497,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,bcde3754616775f91740fae444a796d07cac44b0fd75659d7bf4be047c5a94f3
4,2035581004,27,weight,timely_challenge,True,True,True,False,5,8.422786,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,bcde3754616775f91740fae444a796d07cac44b0fd75659d7bf4be047c5a94f3
4,2035581004,27,weight,delayed_challenge,True,True,True,False,5,8.33046,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,bcde3754616775f91740fae444a796d07cac44b0fd75659d7bf4be047c5a94f3
4,2035581004,27,reputation_state,no_trigger,False,False,False,True,0,0.000139,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,5dafe6449d935a7b2e7ff5a5270af526327db3fe3164fa13b28c768be12b1767
