scene,target_workers,seed,task_id,epsilon,max_iterations,fixed_point_gap,iterations,converged,cap_hit,reference_iterations,reference_converged
Climate,27,20260808,49,1e-05,5,4.84676692435565e-06,4,True,False,20,True
Climate,27,20260808,49,1e-05,50,4.84676692435565e-06,4,True,False,20,True
Climate,27,20260808,49,1e-12,2,3.7616288206555525e-05,2,False,True,20,True
Climate,27,20260808,49,1e-12,5,1.7407229127768563e-06,5,False,True,20,True
Climate,27,20260808,49,1e-12,50,0.0,20,True,False,20,True
Climate,27,20260808,50,0.001,2,9.36027295384159e-05,1,True,False,22,True
Climate,27,20260808,50,0.001,5,9.36027295384159e-05,1,True,False,22,True
Climate,27,20260808,50,0.001,50,9.36027295384159e-05,1,True,False,22,True
Climate,27,20260808,50,1e-05,2,3.654761179632558e-05,2,False,True,22,True
Climate,27,20260808,50,1e-05,5,5.635799244824677e-06,4,True,False,22,True
Climate,27,20260808,50,1e-05,50,5.635799244824677e-06,4,True,False,22,True
Climate,27,20260808,50,1e-12,2,3.654761179632558e-05,2,False,True,22,True
Climate,27,20260808,50,1e-12,5,2.2131181302961493e-06,5,False,True,22,True
Climate,27,20260808,50,1e-12,50,0.0,22,True,False,22,True
Climate,27,20260808,51,0.001,2,0.00024502370732968124,1,True,False,20,True
Climate,27,20260808,51,0.001,5,0.00024502370732968124,1,True,False,20,True
Climate,27,20260808,51,0.001,50,0.00024502370732968124,1,True,False,20,True
Climate,27,20260808,51,1e-05,2,8.577361388284093e-05,2,False,True,20,True
Climate,27,20260808,51,1e-05,5,3.4553504884390315e-06,5,True,False,20,True
Climate,27,20260808,51,1e-05,50,3.4553504884390315e-06,5,True,False,20,True
Climate,27,20260808,51,1e-12,2,8.577361388284093e-05,2,False,True,20,True
Climate,27,20260808,51,1e-12,5,3.4553504884390315e-06,5,False,True,20,True
Climate,27,20260808,51,1e-12,50,0.0,20,True,False,20,True
Climate,27,20260808,52,0.001,2,6.933387660455447e-05,1,True,False,19,True
Climate,27,20260808,52,0.001,5,6.933387660455447e-05,1,True,False,19,True
Climate,27,20260808,52,0.001,50,6.933387660455447e-05,1,True,False,19,True
Climate,27,20260808,52,1e-05,2,2.0999773833741975e-05,2,False,True,19,True
Climate,27,20260808,52,1e-05,5,2.370805922229048e-06,4,True,False,19,True
Climate,27,20260808,52,1e-05,50,2.370805922229048e-06,4,True,False,19,True
Climate,27,20260808,52,1e-12,2,2.0999773833741975e-05,2,False,True,19,True
Climate,27,20260808,52,1e-12,5,8.368204359584118e-07,5,False,True,19,True
Climate,27,20260808,52,1e-12,50,0.0,19,True,False,19,True
Climate,27,20260808,53,0.001,2,0.00011811064892035753,1,True,False,17,True
Climate,27,20260808,53,0.001,5,0.00011811064892035753,1,True,False,17,True
Climate,27,20260808,53,0.001,50,0.00011811064892035753,1,True,False,17,True
Climate,27,20260808,53,1e-05,2,2.45770512187087e-05,2,False,True,17,True
Climate,27,20260808,53,1e-05,5,1.6626908092845054e-06,4,True,False,17,True
Climate,27,20260808,53,1e-05,50,1.6626908092845054e-06,4,True,False,17,True
Climate,27,20260808,53,1e-12,2,2.45770512187087e-05,2,False,True,17,True
Climate,27,20260808,53,1e-12,5,4.7475310329290994e-07,5,False,True,17,True
Climate,27,20260808,53,1e-12,50,0.0,17,True,False,17,True
Climate,27,20260808,54,0.001,2,0.00011019826178438478,1,True,False,14,True
Climate,27,20260808,54,0.001,5,0.00011019826178438478,1,True,False,14,True
Climate,27,20260808,54,0.001,50,0.00011019826178438478,1,True,False,14,True
Climate,27,20260808,54,1e-05,2,1.9299679969067505e-05,2,False,True,14,True
Climate,27,20260808,54,1e-05,5,7.193714423635523e-07,4,True,False,14,True
Climate,27,20260808,54,1e-05,50,7.193714423635523e-07,4,True,False,14,True
Climate,27,20260808,54,1e-12,2,1.9299679969067505e-05,2,False,True,14,True
Climate,27,20260808,54,1e-12,5,1.48113980812816e-07,5,False,True,14,True
Climate,27,20260808,54,1e-12,50,0.0,14,True,False,14,True
Climate,27,20260808,55,0.001,2,4.758963380871167e-05,1,True,False,21,True
Climate,27,20260808,55,0.001,5,4.758963380871167e-05,1,True,False,21,True
Climate,27,20260808,55,0.001,50,4.758963380871167e-05,1,True,False,21,True
Climate,27,20260808,55,1e-05,2,1.899412126182476e-05,2,False,True,21,True
Climate,27,20260808,55,1e-05,5,3.0544115501406415e-06,4,True,False,21,True
Climate,27,20260808,55,1e-05,50,3.0544115501406415e-06,4,True,False,21,True
Climate,27,20260808,55,1e-12,2,1.899412126182476e-05,2,False,True,21,True
Climate,27,20260808,55,1e-12,5,1.2254914305726203e-06,5,False,True,21,True
Climate,27,20260808,55,1e-12,50,0.0,21,True,False,21,True
Climate,27,20260808,56,0.001,2,0.0001062332158335197,1,True,False,17,True
Climate,27,20260808,56,0.001,5,0.0001062332158335197,1,True,False,17,True
Climate,27,20260808,56,0.001,50,0.0001062332158335197,1,True,False,17,True
Climate,27,20260808,56,1e-05,2,2.676219117923872e-05,2,False,True,17,True
Climate,27,20260808,56,1e-05,5,1.9025808280250374e-06,4,True,False,17,True
Climate,27,20260808,56,1e-05,50,1.9025808280250374e-06,4,True,False,17,True
Climate,27,20260808,56,1e-12,2,2.676219117923872e-05,2,False,True,17,True
Climate,27,20260808,56,1e-12,5,5.380693371575958e-07,5,False,True,17,True
Climate,27,20260808,56,1e-12,50,0.0,17,True,False,17,True
Climate,27,20260808,57,0.001,2,4.284001552304942e-05,1,True,False,15,True
Climate,27,20260808,57,0.001,5,4.284001552304942e-05,1,True,False,15,True
Climate,27,20260808,57,0.001,50,4.284001552304942e-05,1,True,False,15,True
Climate,27,20260808,57,1e-05,2,1.0394224741819077e-05,2,False,True,15,True
Climate,27,20260808,57,1e-05,5,2.5105979222501064e-06,3,True,False,15,True
Climate,27,20260808,57,1e-05,50,2.5105979222501064e-06,3,True,False,15,True
Climate,27,20260808,57,1e-12,2,1.0394224741819077e-05,2,False,True,15,True
Climate,27,20260808,57,1e-12,5,1.4608271512093465e-07,5,False,True,15,True
Climate,27,20260808,57,1e-12,50,0.0,15,True,False,15,True
Climate,27,20260808,58,0.001,2,3.6413078714350784e-05,1,True,False,18,True
Climate,27,20260808,58,0.001,5,3.6413078714350784e-05,1,True,False,18,True
Climate,27,20260808,58,0.001,50,3.6413078714350784e-05,1,True,False,18,True
Climate,27,20260808,58,1e-05,2,1.2166232333141553e-05,2,False,True,18,True
Climate,27,20260808,58,1e-05,5,4.173516481556475e-06,3,True,False,18,True
Climate,27,20260808,58,1e-05,50,4.173516481556475e-06,3,True,False,18,True
Climate,27,20260808,58,1e-12,2,1.2166232333141553e-05,2,False,True,18,True
Climate,27,20260808,58,1e-12,5,4.950348305390687e-07,5,False,True,18,True
Climate,27,20260808,58,1e-12,50,0.0,18,True,False,18,True
Climate,27,20260808,59,0.001,2,1.969078921778476e-06,2,True,False,7,True
Climate,27,20260808,59,0.001,5,1.969078921778476e-06,2,True,False,7,True
Climate,27,20260808,59,0.001,50,1.969078921778476e-06,2,True,False,7,True
Climate,27,20260808,59,1e-05,2,1.969078921778476e-06,2,False,True,7,True
Climate,27,20260808,59,1e-05,5,4.266552749715068e-08,3,True,False,7,True
Climate,27,20260808,59,1e-05,50,4.266552749715068e-08,3,True,False,7,True
