method,geometry,tau,trial,success,finite,expected_fallback,declared_fallback,angular_available,low_count,retained_count,iterations,converged,max_raw_weight,normalization_error
Unprotected,full-rank,1e-09,14,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,1e-09,15,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-09,15,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-09,16,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-09,16,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-09,17,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-09,17,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,18,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,1e-09,18,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,19,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-09,19,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-09,20,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,1e-09,20,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,21,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-09,21,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,1e-09,22,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-09,22,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-09,23,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-09,23,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,1e-09,24,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-09,24,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-09,25,True,True,False,False,True,0,27,1,True,0.6931471805599453,4.440892098500626e-16
Unprotected,full-rank,1e-09,25,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,26,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-09,26,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,27,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,1e-09,27,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,28,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-09,28,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,29,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-09,29,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,30,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-09,30,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,31,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
