protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
RPPS-TDC,27,0,normal,reputation_update,42,570.304595,88,7486,2908,0,0x361ce44be01aaee5c4761cef6e05de3730c3cfae683029267bc0927737e4b21b
RPPS-TDC,27,0,normal,reputation_update,43,501.371096,88,7486,2909,0,0x899eef5a01cae9ed7df1d8f801d0ecda842c79519025b3b3dbce250f1b133789
RPPS-TDC,27,0,normal,reputation_update,44,503.003097,88,7486,2910,0,0xa552c5c4375c75489ddb2600b73906bf484c94d650e55a6fdd70b786ba62d7c5
RPPS-TDC,27,0,normal,reputation_update,45,500.241257,88,7486,2911,0,0xa2eb14904e0fa6fda4dcb4aecd0b337ea9c2e6beb653b1277b5c195f5d5e6c4a
RPPS-TDC,27,0,normal,reputation_update,46,502.367928,88,7486,2912,0,0x5568d1a149bc48fd676a34de2423cf80b80bd2872da8da3d885b899f084898c9
RPPS-TDC,27,0,normal,reputation_update,47,499.983999,88,7486,2913,0,0x868627d12894942cff21c2a7f42a2a96ef55009a87046052d2bf7de91503d60e
RPPS-TDC,27,0,normal,reputation_update,48,503.136636,88,7486,2914,0,0x3b625f2c2dc8045cfb8804ba71e979f936e2b2c4c9e63cb7c7605cbec83d0332
RPPS-TDC,27,0,normal,reputation_update,49,498.130583,88,7486,2915,0,0xd96487656a4ad92cfee2faf6e01c94485241118d346e24dbd6b81b6fe02fe043
RPPS-TDC,27,0,normal,reputation_update,50,516.332618,88,7486,2916,0,0xe6cffde797c6e732d7ab7bd014c8d85708579af65ab31dea5da02d905c05e0ed
RPPS-TDC,27,0,normal,reputation_update,51,489.335855,88,7486,2917,0,0x9c02d7950041a6a177926c25a3d238ba95ea0fb8662f626dbd750a04e8ce58d8
RPPS-TDC,27,0,normal,reputation_update,52,501.592243,88,7486,2918,0,0x859e9c7e67bf6782686d49a7cf8eb480dcd2cfd570ecd92d6d587c73b1982035
RPPS-TDC,27,0,normal,reputation_update,53,502.059122,88,7486,2919,0,0x548fc8eb6f81c25bc260718d76dd8fca363864849c850f23e2164ecb07a88e8f
RPPS-TDC,27,0,normal,reputation_update,54,504.206152,88,7486,2920,0,0x1142b66f7a72f789b3225c918a6c6398d6b10d9f79c75ae1c0403c0218af3901
RPPS-TDC,27,0,normal,reputation_update,55,501.518481,88,7486,2921,0,0x5abfb4a572ff03e4aa4ae487bbba7e2c5751c49479e7ad89e35c897cc325ad0c
RPPS-TDC,27,0,normal,reputation_update,56,500.543029,88,7486,2922,0,0xae022d624bbe43fce1e22cfe0cd42c6f8e1b2005515279e3562e3ed99ec5207d
RPPS-TDC,27,0,normal,reputation_update,57,472.669710,88,7486,2923,0,0x5334417fabcb895bd401c6f35c89c145e5b2dab093f3b7c1871498ff1e689406
RPPS-TDC,27,0,normal,settle,58,500.055837,225,11065,2924,0,0x9268efd462bfd77852e183c7a63d91650d18b8cca15b66de6713cc5cbedac3b8
IRPP-TD,27,0,proactive,publish,0,499.677799,289,16530,2925,0,0x0d7f1ad3f74fe7eb78ec2ab7eceaab4166b6ceab5d2f22c9b2e13e24668289b7
IRPP-TD,27,0,proactive,credential_refresh,1,540.310028,289,28384,2926,0,0x1bd1c3d9c2792427c6a8aaa142a31c1c2b4939905c8e19d8c265c60741697f6f
IRPP-TD,27,0,proactive,credential_refresh,2,462.631432,289,28384,2927,0,0xcf5cfe501d2c5b91115973f5426b549d95e4e52534173a021e5d3c9a73b8d2de
IRPP-TD,27,0,proactive,credential_refresh,3,501.345197,289,28384,2928,0,0xcd0028a29a0602a9784de92acccc2d1e045d26d9f693b08973ea4443638c9d9d
IRPP-TD,27,0,proactive,credential_refresh,4,628.577968,289,28384,2929,0,0xd9a59a529424fbf3027c836a9034a3ddf0c6e4e7f0821a78aa01945e804a8f54
IRPP-TD,27,0,proactive,credential_refresh,5,501.482184,289,28384,2930,0,0xf3d6c6b34fdea821d195620d3569fbfe6b912531a426a13bb0df3db536f75927
IRPP-TD,27,0,proactive,credential_refresh,6,503.629118,289,28384,2931,0,0x04cee93c75be963fdd8ee66f620257e0e338d812058324583ac7c66d7c8e1fd9
IRPP-TD,27,0,proactive,credential_refresh,7,528.218900,289,28384,2932,0,0x40b8943d828424a305c0d8a82288ae54849ef16ddf8a2154efe1a13411629aab
IRPP-TD,27,0,proactive,credential_refresh,8,501.773259,289,28384,2933,0,0x84724568bfc309c51ad5217cbc9b746336d15633a70491d6640e344906119970
IRPP-TD,27,0,proactive,credential_refresh,9,502.073599,289,28384,2934,0,0x34118c7918078d1447068200665b2475546c1e866c1b98b62dc27b17c1029f0f
IRPP-TD,27,0,proactive,credential_refresh,10,500.389622,289,28384,2935,0,0x320126982ffb261d7428e30f94608aff33752f54118bfcfd936f68d1f972d856
